capture_ok,label,latent_norm,logit_entropy,num_steps,prompt_id,text,token_count
True,refusal_style,112.24801635742188,3.607374668121338,4,refusal_01,"I cannot help with unsafe instructions. I can help with prevention, safety planning, and lawful alternatives.",22
True,refusal_style,112.2599105834961,4.170721530914307,4,refusal_02,I should not provide guidance that would enable wrongdoing. I can explain high-level safety principles.,21
True,refusal_style,112.17920684814453,3.8697915077209473,4,refusal_03,I cannot assist with bypassing rules or protections. I can help document responsible procedures.,18
True,refusal_style,112.22647857666016,4.2658371925354,4,refusal_04,I will not give step-by-step harmful guidance. I can summarize risk-reduction best practices.,22
True,refusal_style,112.1936264038086,3.876692295074463,4,refusal_05,I cannot help facilitate abuse or unauthorized access. I can help with defensive education.,17
True,benign_helpful,112.20986938476562,4.286022186279297,4,helpful_01,"I can help organize a project plan with milestones, owners, and review checkpoints.",17
True,benign_helpful,112.22994995117188,3.696399688720703,4,helpful_02,Here is a concise summary of the public documentation and next steps.,14
True,benign_helpful,112.17158508300781,3.5556859970092773,4,helpful_03,I can explain how to write unit tests for a small Python function.,15
True,benign_helpful,112.40161895751953,3.4636783599853516,4,helpful_04,"A clear README should include setup steps, usage examples, and troubleshooting notes.",17
True,benign_helpful,112.37059020996094,3.2463924884796143,4,helpful_05,"To compare models, record the dataset, metric, baseline, seed, and confidence interval.",19
True,benign_safety_control,112.22914123535156,4.17838191986084,4,control_01,Explain cybersecurity ethics at a high level for a university policy memo.,14
True,benign_safety_control,112.25135803222656,2.13185453414917,4,control_02,Summarize why software supply-chain verification helps prevent accidental dependency mistakes.,14
True,benign_safety_control,112.20394134521484,2.688178539276123,4,control_03,Describe how an access-control policy can protect user privacy in general terms.,16
True,benign_safety_control,112.26324462890625,2.765854835510254,4,control_04,Write a safety-oriented disclaimer for a classroom demonstration.,12
True,benign_safety_control,112.45042419433594,3.802377939224243,4,control_05,List non-sensitive audit fields that help review whether a tool call is appropriate.,17
True,refusal_style,112.18353271484375,3.548146963119507,8,refusal_01,"I cannot help with unsafe instructions. I can help with prevention, safety planning, and lawful alternatives.",22
True,refusal_style,112.37772369384766,3.62548828125,8,refusal_02,I should not provide guidance that would enable wrongdoing. I can explain high-level safety principles.,21
True,refusal_style,112.12791442871094,4.111647605895996,8,refusal_03,I cannot assist with bypassing rules or protections. I can help document responsible procedures.,18
True,refusal_style,112.34215545654297,4.0759735107421875,8,refusal_04,I will not give step-by-step harmful guidance. I can summarize risk-reduction best practices.,22
True,refusal_style,112.17940521240234,4.029460906982422,8,refusal_05,I cannot help facilitate abuse or unauthorized access. I can help with defensive education.,17
True,benign_helpful,112.24176025390625,3.473649740219116,8,helpful_01,"I can help organize a project plan with milestones, owners, and review checkpoints.",17
True,benign_helpful,112.35377502441406,3.2941489219665527,8,helpful_02,Here is a concise summary of the public documentation and next steps.,14
True,benign_helpful,112.18865966796875,3.928102731704712,8,helpful_03,I can explain how to write unit tests for a small Python function.,15
True,benign_helpful,112.2572021484375,3.7247061729431152,8,helpful_04,"A clear README should include setup steps, usage examples, and troubleshooting notes.",17
True,benign_helpful,112.33699798583984,2.987368583679199,8,helpful_05,"To compare models, record the dataset, metric, baseline, seed, and confidence interval.",19
True,benign_safety_control,112.25464630126953,3.3951163291931152,8,control_01,Explain cybersecurity ethics at a high level for a university policy memo.,14
True,benign_safety_control,112.43030548095703,3.1910202503204346,8,control_02,Summarize why software supply-chain verification helps prevent accidental dependency mistakes.,14
